Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1958,.39,.21,.09,.01,.05,-.07,.06,-.03,-.02,.04,.02,.01,.06,.07,.25,.05,-.01,.01
1959,.08,.07,.17,.14,.05,.03,.03,.00,-.06,-.06,-.08,-.01,.03,.03,.05,.12,.02,-.07
1960,.00,.15,-.34,-.15,-.07,-.04,-.04,.03,.06,.05,-.11,.19,-.02,-.04,.05,-.19,-.02,.00
1961,.07,.19,.10,.12,.13,.11,.01,.01,.08,.02,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.06,.15,.11,.06,-.07,.05,.02,-.02,.02,.02,.06,-.02,.04,.02,.02,.03,.02,.03
1963,-.03,.18,-.13,-.07,-.06,.03,.07,.22,.18,.14,.14,-.03,.05,.05,.04,-.09,.11,.15
1964,-.09,-.10,-.22,-.32,-.25,-.05,-.05,-.21,-.30,-.31,-.22,-.30,-.20,-.18,-.07,-.26,-.10,-.28
1965,-.08,-.17,-.13,-.19,-.11,-.08,-.14,-.05,-.14,-.06,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.05,.03,-.14,-.12,.00,.08,-.08,-.03,-.16,-.01,-.03,-.06,-.06,-.11,-.08,.00,-.07
1967,-.08,-.22,.05,-.04,.11,-.08,.03,-.01,-.05,.10,-.04,-.05,-.02,-.02,-.11,.04,-.02,.00
1968,-.26,-.15,.20,-.06,-.13,-.08,-.13,-.08,-.17,.09,-.05,-.14,-.08,-.07,-.15,.00,-.09,-.05
1969,-.11,-.17,.01,.17,.18,.04,-.04,.04,.08,.10,.12,.24,.06,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.11,.03,.02,-.12,.02,.06,.18,.02,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.01,-.03,.04,.01,.16,.02,.08,.02,.17,.01,-.01,-.16,.00,.07,.04
1973,.29,.33,.29,.27,.23,.19,.13,.05,.09,.10,.05,-.06,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.11,-.08,-.05,-.07,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.12,-.17,-.17,-.01,-.01,.04,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.13,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.12,-.12
1977,.18,.23,.25,.27,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.03,.08
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.25,.29,.48,.16,.13,.02,.12,.11,.26
1980,.30,.40,.30,.30,.35,.20,.22,.18,.20,.13,.29,.22,.26,.28,.39,.32,.20,.21
1981,.52,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.16,.03,.15,.18,.06,.14,.04,.14,.13,.18,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.28,.33,.22,.18,.35,.37,.16,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.32,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.21,.13,.14
1985,.22,-.03,.17,.12,.15,.15,.04,.16,.13,.11,.05,.13,.12,.10,.05,.15,.12,.10
1986,.27,.37,.30,.22,.21,.12,.11,.15,.03,.15,.11,.14,.18,.18,.26,.25,.13,.10
1987,.33,.43,.18,.24,.25,.34,.40,.25,.35,.32,.29,.46,.32,.29,.30,.23,.33,.32
1988,.56,.44,.51,.43,.43,.40,.32,.39,.36,.37,.12,.28,.38,.40,.49,.46,.37,.28
1989,.12,.30,.36,.29,.17,.16,.34,.33,.35,.29,.19,.37,.27,.26,.23,.27,.28,.28
1990,.41,.44,.80,.56,.45,.39,.46,.34,.23,.44,.47,.41,.45,.45,.41,.60,.40,.38
1991,.42,.50,.35,.51,.34,.53,.47,.40,.44,.28,.29,.31,.40,.41,.44,.40,.46,.34
1992,.47,.41,.47,.27,.30,.26,.09,.08,-.01,.06,.03,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.23,.25,.11,.12,.23,.04,.18,.23,.23,.31,.31,.20,.13
1994,.26,.03,.30,.41,.28,.44,.30,.22,.33,.42,.45,.38,.32,.30,.16,.33,.32,.40
1995,.52,.79,.47,.46,.28,.42,.45,.46,.34,.47,.44,.25,.45,.46,.56,.41,.44,.42
1996,.24,.47,.33,.32,.28,.25,.36,.48,.25,.20,.39,.37,.33,.32,.32,.31,.37,.28
1997,.30,.41,.52,.35,.36,.54,.34,.43,.52,.60,.64,.58,.47,.45,.36,.41,.44,.59
1998,.58,.88,.64,.64,.67,.76,.68,.66,.42,.43,.44,.56,.61,.61,.68,.65,.70,.43
1999,.49,.65,.32,.33,.28,.36,.38,.32,.39,.34,.37,.42,.39,.40,.57,.31,.35,.37
2000,.26,.56,.55,.57,.36,.39,.38,.42,.40,.27,.31,.28,.40,.41,.41,.49,.40,.33
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.52,.40,.55,.54,.59
2002,.78,.79,.88,.58,.63,.53,.61,.53,.64,.55,.59,.44,.63,.64,.71,.70,.55,.59
2003,.75,.59,.60,.55,.61,.48,.58,.65,.63,.73,.53,.75,.62,.60,.59,.59,.57,.63
2004,.58,.73,.64,.62,.39,.44,.26,.47,.51,.61,.73,.51,.54,.56,.69,.55,.39,.62
2005,.75,.61,.74,.68,.63,.65,.62,.62,.71,.75,.74,.68,.68,.67,.62,.69,.63,.73
2006,.56,.73,.63,.49,.50,.65,.55,.71,.65,.69,.73,.79,.64,.63,.66,.54,.64,.69
2007,1.02,.70,.72,.75,.68,.61,.60,.60,.60,.59,.59,.49,.66,.69,.84,.72,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.47,.61,.65,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.54,.54,.60,.66,.65,.71,.68,.73,.66,.81,.68,.66,.65,.58,.60,.68,.73
2010,.76,.84,.92,.84,.76,.68,.64,.66,.63,.70,.82,.45,.73,.74,.76,.84,.66,.72
2011,.52,.48,.65,.65,.52,.61,.70,.73,.58,.66,.59,.61,.61,.60,.49,.60,.68,.61
2012,.50,.49,.57,.71,.77,.65,.58,.64,.71,.79,.79,.53,.64,.65,.53,.69,.62,.76
2013,.71,.63,.67,.56,.62,.71,.62,.70,.77,.69,.85,.70,.69,.67,.62,.62,.67,.77
2014,.76,.56,.80,.81,.85,.67,.59,.81,.85,.80,.67,.80,.75,.74,.67,.82,.69,.77
2015,.85,.90,.96,.77,.79,.81,.74,.82,.84,1.08,1.06,1.16,.90,.87,.85,.84,.79,.99
2016,1.17,1.37,1.36,1.12,.95,.82,.84,1.01,.91,.88,.91,.86,1.02,1.04,1.23,1.14,.89,.90
2017,1.02,1.14,1.16,.94,.90,.72,.82,.87,.79,.90,.88,.94,.92,.92,1.01,1.00,.80,.86
2018,.82,.85,.90,.90,.82,.78,.83,.77,.80,1.00,.83,.92,.85,.85,.87,.87,.79,.88
2019,.93,.95,1.18,1.02,.86,.92,.94,.94,.92,1.02,1.00,1.10,.98,.97,.93,1.02,.93,.98
2020,1.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
